Defline,Subtype,US Clade,Global Clade
>A/swine/Indiana/17TOSU1614/2017|07/01/2017|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/17TOSU1725/2017|07/01/2017|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/17TOSU1731/2017|07/01/2017|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/17TOSU1822/2017|07/01/2017|Indiana|6|NA,N1,classical,classical
>A/swine/Indiana/17TOSU1823/2017|07/01/2017|Indiana|6|NA,N1,classical,classical
>A/swine/Indiana/17TOSU1827/2017|07/01/2017|Indiana|6|NA,N1,classical,classical
>A/swine/Indiana/17TOSU1832/2017|07/01/2017|Indiana|6|NA,N1,classical,classical
>A/swine/Indiana/17TOSU1833/2017|07/01/2017|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/17TOSU1839/2017|07/01/2017|Indiana|6|NA,N1,classical,classical
>A/swine/Indiana/17TOSU1840/2017|07/01/2017|Indiana|6|NA,N1,classical,classical
>A/swine/Indiana/17TOSU2827/2017|06/01/2017|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/17TOSU2829/2017|06/01/2017|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/17TOSU2830/2017|06/01/2017|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/17TOSU2833/2017|06/01/2017|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/17TOSU2835/2017|06/01/2017|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/17TOSU2836/2017|06/01/2017|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/17TOSU2838/2017|06/01/2017|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/17TOSU2839/2017|06/01/2017|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/17TOSU2840/2017|06/01/2017|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/17TOSU2849/2017|06/01/2017|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/17TOSU2852/2017|06/01/2017|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/17TOSU2854/2017|06/01/2017|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/17TOSU2855/2017|06/01/2017|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/17TOSU2865/2017|06/01/2017|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/17TOSU2866/2017|06/01/2017|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/17TOSU2869/2017|06/01/2017|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/17TOSU3703/2017|06/01/2017|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/17TOSU3717/2017|06/01/2017|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/17TOSU3748/2017|06/01/2017|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/17TOSU3759/2017|06/01/2017|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/17TOSU3887/2017|06/01/2017|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/17TOSU3894/2017|06/01/2017|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/17TOSU3899/2017|06/01/2017|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/17TOSU3911/2017|06/01/2017|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/17TOSU4223/2017|06/01/2017|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/17TOSU5207/2017|06/01/2017|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/17TOSU5316/2017|06/01/2017|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/17TOSU5342/2017|06/01/2017|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/17TOSU5444/2017|06/01/2017|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/17TOSU5450/2017|06/01/2017|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/17TOSU6779/2017|07/01/2017|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/17TOSU6794/2017|07/01/2017|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/17TOSU7178/2017|08/01/2017|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/17TOSU7478/2017|08/01/2017|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/18TOSU2186/2018|10/01/2012|Indiana|6|NA,N2,2002A,2002A
>A/swine/Indiana/18TOSU2225/2018|08/01/2018|Indiana|6|NA,N2,2002A,2002A
>A/swine/Indiana/18TOSU2860/2018|06/01/2018|Indiana|6|NA,N2,2002A,2002A
>A/swine/Indiana/18TOSU3605/2018|06/01/2018|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/18TOSU3611/2018|06/01/2018|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/18TOSU3614/2018|06/01/2018|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A00968308/2012|08/09/2012|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A00968321/2010|10/18/2010|Indiana|6|NA,N2,2002,2002
>A/swine/Indiana/A00968322/2010|10/20/2010|Indiana|6|NA,N2,2002,2002
>A/swine/Indiana/A00968364/2012|07/03/2012|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A00968370/2012|07/13/2012|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A00968373/2012|07/13/2012|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A00968376/2012|07/13/2012|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A00968379/2012|07/13/2012|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A00968380/2012|07/18/2012|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A00968386/2012|07/26/2012|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A00968390/2012|08/01/2012|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A00968394/2012|08/06/2012|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A00968397/2012|08/06/2012|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A00968398/2012|08/06/2012|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A01049091/2010|11/18/2010|Indiana|6|NA,N2,2002A,2002A
>A/swine/Indiana/A01049653/2011|03/08/2011|Indiana|6|NA,N2,2002A,2002A
>A/swine/Indiana/A01049744/2011|03/23/2011|Indiana|6|NA,N2,2002A,2002A
>A/swine/Indiana/A01049745/2011|03/23/2011|Indiana|6|NA,N2,2002A,2002A
>A/swine/Indiana/A01104016/2012|07/31/2012|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A01104030/2012|08/01/2012|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A01202621/2011|09/28/2011|Indiana|6|NA,N2,2002A,2002A
>A/swine/Indiana/A01203372/2012|04/03/2012|Indiana|6|NA,N2,2002A,2002A
>A/swine/Indiana/A01203509/2012|05/09/2012|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A01203521/2012|05/15/2012|Indiana|6|NA,N2,2002A,2002A
>A/swine/Indiana/A01203522/2012|05/15/2012|Indiana|6|NA,N2,2002A,2002A
>A/swine/Indiana/A01260015/2012|09/06/2012|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A01260041/2012|10/2012|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A01260048/2012|10/17/2012|Indiana|6|NA,N2,2002A,2002A
>A/swine/Indiana/A01260093/2012|10/30/2012|Indiana|6|NA,N2,2002A,2002A
>A/swine/Indiana/A01260099/2012|11/02/2012|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A01260135/2012|11/16/2012|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A01260163/2012|12/05/2012|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A01260169/2012|12/11/2012|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A01260230/2013|02/05/2013|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A01260252/2013|03/19/2013|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A01260254/2013|03/20/2013|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A01260261/2013|03/29/2013|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A01260276/2013|04/16/2013|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A01260280/2013|04/19/2013|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A01260284/2013|04/30/2013|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A01260313/2013|06/21/2013|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A01260321/2013|06/25/2013|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A01260322/2013|06/25/2013|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A01260361/2013|08/08/2013|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A01260368/2013|08/19/2013|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A01260371/2013|08/19/2013|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A01260398/2013|10/08/2013|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A01260416/2013|11/11/2013|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A01260462/2014|01/02/2014|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A01260466/2014|01/13/2014|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A01260479/2014|01/28/2014|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A01260521/2014|03/19/2014|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A01260523/2014|04/03/2014|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A01260667/2014|09/24/2014|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A01260863/2015|04/03/2015|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A01260882/2015|04/28/2015|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A01260926/2015|06/29/2015|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A01260958/2015|08/11/2015|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A01260976/2015|09/01/2015|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A01271853/2012|11/06/2012|Indiana|6|NA,N2,2002A,2002A
>A/swine/Indiana/A01290320/2013|08/2013|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A01290854/2013|11/2013|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A01327213/2012|02/06/2012|Indiana|6|NA,N2,2002A,2002A
>A/swine/Indiana/A01327215/2012|02/06/2012|Indiana|6|NA,N2,2002A,2002A
>A/swine/Indiana/A01410287/2014|02/2014|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A01410396/2014|03/2014|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A01410773/2014|05/2014|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A01432300/2012|12/13/2012|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A01432492/2013|03/2013|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A01476743/2014|10/14/2014|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A01672517/2017|01/20/2017|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A01729047/2016|01/06/2016|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A01730580/2016|01/28/2016|Indiana|6|NA,N2,2002A,2002A
>A/swine/Indiana/A01777672/2016|07/06/2016|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A01796207/2015|11/03/2015|Indiana|6|NA,N2,2002A,2002A
>A/swine/Indiana/A01797992/2019|04/24/2019|Indiana|6|NA,N2,1998,1998
>A/swine/Indiana/A01812059/2015|11/04/2015|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A01812151/2016|01/20/2016|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A01812202/2016|04/24/2016|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A01812235/2016|06/23/2016|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A01812244/2016|07/08/2016|Indiana|6|NA,N2,2002A,2002A
>A/swine/Indiana/A01812245/2016|07/21/2016|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A01812246/2016|07/26/2016|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A01812250/2016|11/14/2016|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A01812260/2017|04/18/2017|Indiana|6|NA,N2,2002A,2002A
>A/swine/Indiana/A01812290/2019|04/01/2019|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A01812292/2019|04/16/2019|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A01812297/2019|10/24/2019|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A01812299/2019|12/12/2019|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A01812301/2020|01/17/2020|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A01812302/2020|01/28/2020|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A01812303/2020|01/28/2020|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A01812305/2020|04/24/2020|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A01812306/2020|05/19/2020|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A01812311/2020|08/31/2020|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A01812314/2020|12/14/2020|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A01840133/2014|12/10/2014|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A01840146/2014|12/12/2014|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A01840253/2014|12/09/2014|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A01840254/2014|12/11/2014|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A01841389/2015|03/10/2015|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A02214844/2017|04/03/2017|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A02245511/2020|02/24/2020|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A02270009/2018|11/15/2018|Indiana|6|NA,N2,1998,1998
>A/swine/Indiana/A02270141/2018|11/21/2018|Indiana|6|NA,N2,1998,1998
>A/swine/Indiana/A02429957/2019|01/24/2019|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A02431993/2019|04/01/2019|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A02478626/2019|08/22/2019|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A02478693/2019|09/27/2019|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A02478727/2019|10/04/2019|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A02478732/2019|10/08/2019|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A02478733/2019|10/01/2019|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A02478818/2019|10/28/2019|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A02478844/2019|11/04/2019|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A02478890/2019|11/19/2019|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A02478921/2019|11/26/2019|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A02478925/2019|11/26/2019|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A02478966/2019|12/27/2019|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A02478978/2019|12/31/2019|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A02478980/2020|01/06/2020|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A02478983/2020|01/09/2020|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A02478996/2020|01/09/2020|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A02479009/2020|01/24/2020|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A02479020/2020|01/22/2020|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A02479023/2020|01/21/2020|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A02479025/2020|01/21/2020|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A02479029/2019|12/31/2019|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A02479057/2020|02/12/2020|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A02479085/2020|02/26/2020|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A02479123/2020|03/10/2020|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A02479148/2020|03/18/2020|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A02479161/2020|03/24/2020|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A02479381/2020|05/28/2020|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A02479428/2020|06/04/2020|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A02524424/2020|06/10/2020|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A02524437/2020|06/17/2020|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A02524539/2020|08/07/2020|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A02524738/2020|10/14/2020|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A02524785/2020|10/27/2020|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A02524839/2020|11/03/2020|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A02525012/2020|12/23/2020|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A02525066/2021|01/14/2021|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A02525078/2021|01/05/2021|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A02525243/2021|03/04/2021|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A02525269/2021|03/17/2021|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A02525280/2021|03/23/2021|Indiana|6|NA,N2,2002B,2002B
>A/swine/Indiana/A02525281/2021|03/25/2021|Indiana|6|NA,N2,2002B,2002B
>A/swine/Iowa/13E045/2013|05/29/2013|Iowa|6|NA,N2,2002B,2002B
>A/swine/Iowa/13H065/2013|08/28/2013|Iowa|6|NA,N2,2002B,2002B
>A/swine/Iowa/13H068/2013|08/28/2013|Iowa|6|NA,N2,2002B,2002B
>A/swine/Iowa/13H069/2013|08/28/2013|Iowa|6|NA,N2,2002B,2002B
>A/swine/Iowa/13H073/2013|08/28/2013|Iowa|6|NA,N2,2002B,2002B
>A/swine/Iowa/13H075/2013|08/28/2013|Iowa|6|NA,N2,2002B,2002B
>A/swine/Iowa/13H076/2013|08/28/2013|Iowa|6|NA,N2,2002B,2002B
>A/swine/Iowa/13H081/2013|08/28/2013|Iowa|6|NA,N2,2002B,2002B
>A/swine/Iowa/13H082/2013|08/28/2013|Iowa|6|NA,N2,2002B,2002B
>A/swine/Iowa/13H087/2013|08/28/2013|Iowa|6|NA,N2,2002B,2002B
>A/swine/Iowa/13H090/2013|08/28/2013|Iowa|6|NA,N2,2002B,2002B
>A/swine/Iowa/13H092/2013|08/28/2013|Iowa|6|NA,N2,2002B,2002B
>A/swine/Iowa/13H094/2013|08/28/2013|Iowa|6|NA,N2,2002B,2002B
>A/swine/Iowa/13H098/2013|08/28/2013|Iowa|6|NA,N2,2002B,2002B
>A/swine/Iowa/16TOSU2256/2016|06/09/2016|Iowa|6|NA,N2,2002B,2002B
>A/swine/Iowa/16TOSU2257/2016|06/09/2016|Iowa|6|NA,N2,2002B,2002B
>A/swine/Iowa/16TOSU2289/2016|06/09/2016|Iowa|6|NA,N2,2002B,2002B
>A/swine/Iowa/16TOSU2298/2016|06/01/2016|Iowa|6|NA,N2,2002B,2002B
>A/swine/Iowa/16TOSU2307/2016|06/09/2016|Iowa|6|NA,N2,2002B,2002B
>A/swine/Iowa/16TOSU2346/2016|06/09/2016|Iowa|6|NA,N2,2002B,2002B
>A/swine/Iowa/16TOSU2409/2016|06/09/2016|Iowa|6|NA,N2,2002A,2002A
>A/swine/Iowa/16TOSU2410/2016|06/01/2016|Iowa|6|NA,N2,2002A,2002A
>A/swine/Iowa/16TOSU2418/2016|06/09/2016|Iowa|6|NA,N2,2002A,2002A
>A/swine/Iowa/16TOSU2419/2016|06/09/2016|Iowa|6|NA,N2,2002A,2002A
>A/swine/Iowa/16TOSU2422/2016|06/09/2016|Iowa|6|NA,N2,2002A,2002A
>A/swine/Iowa/16TOSU2424/2016|06/09/2016|Iowa|6|NA,N2,2002B,2002B
>A/swine/Iowa/16TOSU2428/2016|06/01/2016|Iowa|6|NA,N2,2002A,2002A
>A/swine/Iowa/16TOSU2437/2016|06/09/2016|Iowa|6|NA,N2,2002A,2002A
>A/swine/Iowa/16TOSU2458/2016|06/09/2016|Iowa|6|NA,N2,2002A,2002A
>A/swine/Iowa/16TOSU2459/2016|06/01/2016|Iowa|6|NA,N2,2002A,2002A
>A/swine/Iowa/16TOSU2464/2016|06/09/2016|Iowa|6|NA,N2,2002B,2002B
>A/swine/Iowa/16TOSU2493/2016|06/09/2016|Iowa|6|NA,N2,2002B,2002B
>A/swine/Iowa/16TOSU2534/2016|06/09/2016|Iowa|6|NA,N2,2002B,2002B
>A/swine/Iowa/16TOSU2549/2016|06/09/2016|Iowa|6|NA,N2,2002B,2002B
>A/swine/Iowa/16TOSU2585/2016|06/09/2016|Iowa|6|NA,N2,2002B,2002B
>A/swine/Iowa/16TOSU2589/2016|06/09/2016|Iowa|6|NA,N2,2002B,2002B
>A/swine/Iowa/16TOSU2673/2016|06/09/2016|Iowa|6|NA,N2,2002B,2002B
>A/swine/Iowa/16TOSU2677/2016|06/09/2016|Iowa|6|NA,N2,2002B,2002B
>A/swine/Iowa/16TOSU2707/2016|06/09/2016|Iowa|6|NA,N2,2002B,2002B
>A/swine/Iowa/16TOSU2708/2016|06/09/2016|Iowa|6|NA,N2,2002B,2002B
>A/swine/Iowa/16TOSU2709/2016|06/09/2016|Iowa|6|NA,N2,2002B,2002B
>A/swine/Iowa/16TOSU2772/2016|06/01/2016|Iowa|6|NA,N2,2002A,2002A
>A/swine/Iowa/16TOSU2822/2016|06/09/2016|Iowa|6|NA,N2,2002B,2002B
>A/swine/Iowa/16TOSU2850/2016|06/09/2016|Iowa|6|NA,N2,2002B,2002B
>A/swine/Iowa/16TOSU8488/2016|08/01/2016|Iowa|6|NA,N2,2002A,2002A
>A/swine/Iowa/16TOSU8489/2016|08/01/2016|Iowa|6|NA,N2,2002A,2002A
>A/swine/Iowa/17TOSU3200/2017|06/01/2017|Iowa|6|NA,N2,2002B,2002B
>A/swine/Iowa/17TOSU3414/2017|06/01/2017|Iowa|6|NA,N2,2002B,2002B
>A/swine/Iowa/17TOSU3442/2017|06/01/2017|Iowa|6|NA,N2,2002B,2002B
>A/swine/Iowa/17TOSU3444/2017|06/01/2017|Iowa|6|NA,N2,2002B,2002B
>A/swine/Iowa/17TOSU3445/2017|06/01/2017|Iowa|6|NA,N2,2002B,2002B
>A/swine/Iowa/17TOSU3448/2017|06/01/2017|Iowa|6|NA,N2,2002B,2002B
>A/swine/Iowa/17TOSU3449/2017|06/01/2017|Iowa|6|NA,N2,2002B,2002B
>A/swine/Iowa/17TOSU3458/2017|06/01/2017|Iowa|6|NA,N2,2002B,2002B
>A/swine/Iowa/17TOSU3459/2017|06/01/2017|Iowa|6|NA,N2,2002B,2002B
>A/swine/Iowa/17TOSU3460/2017|06/01/2017|Iowa|6|NA,N2,2002B,2002B
>A/swine/Iowa/17TOSU3463/2017|06/01/2017|Iowa|6|NA,N2,2002B,2002B
>A/swine/Iowa/17TOSU3466/2017|06/01/2017|Iowa|6|NA,N2,2002B,2002B
>A/swine/Iowa/17TOSU3467/2017|06/01/2017|Iowa|6|NA,N2,2002B,2002B
>A/swine/Iowa/17TOSU3468/2017|06/01/2017|Iowa|6|NA,N2,2002B,2002B
>A/swine/Iowa/17TOSU3470/2017|06/01/2017|Iowa|6|NA,N2,2002B,2002B
>A/swine/Iowa/17TOSU3472/2017|06/01/2017|Iowa|6|NA,N2,2002B,2002B
>A/swine/Iowa/17TOSU3476/2017|06/01/2017|Iowa|6|NA,N2,2002B,2002B
>A/swine/Iowa/17TOSU3479/2017|06/01/2017|Iowa|6|NA,N2,2002B,2002B
>A/swine/Iowa/17TOSU3480/2017|06/01/2017|Iowa|6|NA,N2,2002B,2002B
>A/swine/Iowa/17TOSU3481/2017|06/01/2017|Iowa|6|NA,N2,2002B,2002B
>A/swine/Iowa/17TOSU3482/2017|06/01/2017|Iowa|6|NA,N2,2002B,2002B
>A/swine/Iowa/17TOSU3483/2017|06/01/2017|Iowa|6|NA,N2,2002B,2002B
>A/swine/Iowa/17TOSU3498/2017|06/01/2017|Iowa|6|NA,N2,2002B,2002B
>A/swine/Iowa/17TOSU3507/2017|06/01/2017|Iowa|6|NA,N2,2002B,2002B
>A/swine/Iowa/17TOSU3516/2017|06/01/2017|Iowa|6|NA,N2,2002B,2002B
>A/swine/Iowa/17TOSU3527/2017|06/01/2017|Iowa|6|NA,N2,2002B,2002B
>A/swine/Iowa/17TOSU3605/2017|06/01/2017|Iowa|6|NA,N2,2002B,2002B
>A/swine/Iowa/17TOSU3656/2017|06/01/2017|Iowa|6|NA,N2,2002B,2002B
>A/swine/Iowa/17TOSU3668/2017|06/01/2017|Iowa|6|NA,N2,2002B,2002B
>A/swine/Iowa/17TOSU7821/2017|08/01/2017|Iowa|6|NA,N2,2002B,2002B
>A/swine/Iowa/18Tosu0373/2018|06/07/2018|Iowa|6|NA,N2,2002B,2002B
>A/swine/Iowa/18Tosu0383/2018|06/07/2018|Iowa|6|NA,N2,2002B,2002B
>A/swine/Iowa/18Tosu0394/2018|06/07/2018|Iowa|6|NA,N2,2002B,2002B
>A/swine/Iowa/18Tosu0488/2018|06/07/2018|Iowa|6|NA,N2,2002B,2002B
>A/swine/Iowa/19TOSU3065/2019|06/07/2019|Iowa|6|NA,N2,2002B,2002B
>A/swine/Iowa/321160/2012|08/23/2012|Iowa|6|NA,N2,2002B,2002B
>A/swine/Iowa/A01202529/2011|08/22/2011|Iowa|6|NA,N2,2002A,2002A
>A/swine/Iowa/A01202530/2011|08/22/2011|Iowa|6|NA,N2,2002A,2002A
>A/swine/Iowa/A01202573/2011|09/07/2011|Iowa|6|NA,N2,2002A,2002A
>A/swine/Iowa/A01202639/2011|09/30/2011|Iowa|6|NA,N2,2002A,2002A
>A/swine/Iowa/A01202640/2011|09/30/2011|Iowa|6|NA,N2,2002A,2002A
>A/swine/Iowa/A01202659/2011|10/06/2011|Iowa|6|NA,N2,2002A,2002A
>A/swine/Iowa/A01202878/2011|11/17/2011|Iowa|6|NA,N2,2002A,2002A
>A/swine/Iowa/A01202879/2011|11/17/2011|Iowa|6|NA,N2,2002A,2002A
>A/swine/Iowa/A01203503/2012|05/09/2012|Iowa|6|NA,N2,2002A,2002A
>A/swine/Iowa/A01203863/2012|10/2012|Iowa|6|NA,N2,2002B,2002B
>A/swine/Iowa/A01243736/2012|07/25/2012|Iowa|6|NA,N2,2002A,2002A
>A/swine/Iowa/A01244302/2012|11/2012|Iowa|6|NA,N2,2002B,2002B
