strain,date,state,most similar blast clade
A/swine/Missouri/A02524672/2020,9/24/2020,Missouri,2010-human_like
A/swine/Iowa/A02524556/2020,8/19/2020,Iowa,C_IVA
A/swine/Minnesota/A02245690/2020,8/17/2020,Minnesota,LAIV_C-I
A/swine/Minnesota/A02245640/2020,5/11/2020,Minnesota,2010-human_like
A/swine/Utah/A02479180/2020,3/26/2020,Utah,2010-human_like
A/swine/Utah/A02479127/2020,3/6/2020,Utah,2010-human_like
A/swine/Iowa/A02479069/2020,2/17/2020,Iowa,2010-human_like
A/swine/Minnesota/A02245410/2020,2/3/2020,Minnesota,2010-human_like
A/swine/Illinois/A02479027/2020,1/23/2020,Illinois,2010-human_like
A/swine/Iowa/A02478979/2019,12/31/2019,Iowa,2010-human_like
A/swine/Iowa/A02478871/2019,11/12/2019,Iowa,2010-human_like
A/swine/Indiana/A02478837/2019,11/7/2019,Indiana,2016-human_like
A/swine/Iowa/A02478723/2019,10/3/2019,Iowa,2010-human_like
A/swine/Minnesota/A02245235/2019,9/6/2019,Minnesota,2010-human_like
A/swine/Iowa/A02478634/2019,8/27/2019,Iowa,2010-human_like
A/swine/Missouri/A02432296/2019,4/16/2019,Missouri,2010-human_like
A/swine/Iowa/A01785783/2018,12/7/2018,Iowa,2010-human_like
A/swine/Minnesota/A01785779/2018,12/5/2018,Minnesota,2010-human_like
A/swine/Colorado/A01785738/2018,11/5/2018,Colorado,2010-human_like
A/swine/Iowa/A02268957/2018,10/31/2018,Iowa,2010-human_like
A/swine/Iowa/A02157795/2018,4/10/2018,Iowa,2010-human_like
A/swine/Minnesota/A01785496/2018,4/5/2018,Minnesota,2010-human_like
A/swine/Iowa/A02156987/2018,3/20/2018,Iowa,2010-human_like
A/swine/Minnesota/A01785300/2017,9/27/2017,Minnesota,2010-human_like
A/swine/Iowa/A01668669/2016,11/29/2016,Iowa,2010-human_like
A/swine/Iowa/A01668655/2016,11/22/2016,Iowa,2010-human_like
A/swine/Minnesota/A01668212/2016,11/9/2016,Minnesota,2010-human_like
A/swine/Missouri/A01782798/2016,10/28/2016,Missouri,2010-human_like
A/swine/Nebraska/A01781225/2016,9/8/2016,Nebraska,C_IVA
A/swine/Iowa/A01778878/2016,8/22/2016,Iowa,C_IVA
A/swine/Minnesota/A01940148/2015,8/24/2015,Minnesota,C_IVA
A/swine/Oklahoma/A01770191/2015,8/7/2015,Oklahoma,C_IVA
A/swine/Illinois/A01478325/2014,11/20/2014,Illinois,C_IVB
A/swine/Iowa/A01476878/2014,10/31/2014,Iowa,C_IVA
A/swine/Iowa/A01476877/2014,10/29/2014,Iowa,C_IVA
A/swine/Nebraska/A01509963/2014,5/7/2014,Nebraska,C_IVA
A/swine/North_Carolina/A01409981/2014,Feb-14,North_Carolina,C_IVA
A/swine/Iowa/A01244805/2013,Jul-13,Iowa,C_IVA
A/swine/Pennsylvania/A01380412/2013,3/26/2013,Pennsylvania,C_IVA
A/swine/Iowa/A01277915/2012,11/26/2012,Iowa,C_IVD
A/swine/Iowa/A01203942/2012,Oct-12,Iowa,C_IVD
A/swine/Minnesota/14/2012,7/6/2012,Minnesota,C_IVE
A/swine/Minnesota/A01300213/2012,6/15/2012,Minnesota,C_IVB
A/swine/Iowa/A01049112/2010,11/22/2010,Iowa,C_IVB
A/swine/Oklahoma/A02245348/2019,12/3/2019,Oklahoma,2010-human_like
A/swine/Oklahoma/A02245329/2019,11/11/2019,Oklahoma,2010-human_like
A/swine/Oklahoma/A02245308/2019,10/28/2019,Oklahoma,2010-human_like
A/swine/Oklahoma/A02478660/2019,9/4/2019,Oklahoma,2010-human_like
A/swine/Minnesota/A02525130/2021,1/29/2021,Minnesota,C_IVA
A/swine/Missouri/A02525123/2021,1/27/2021,Missouri,2010-human_like
A/swine/Minnesota/A02245861/2020,12/30/2020,Minnesota,2010-human_like
A/swine/Utah/A02524486/2020,7/7/2020,Utah,2010-human_like
A/swine/Nebraska/A02245566/2020,3/27/2020,Nebraska,C_IVA
A/swine/Nebraska/A02245411/2020,2/4/2020,Nebraska,C_IVA
A/swine/Illinois/A02478974/2019,12/26/2019,Illinois,2010-human_like
A/swine/Iowa/A02478976/2019,12/24/2019,Iowa,C_IVA
A/swine/Texas/A02245368/2019,12/19/2019,Texas,2010-human_like
A/swine/North_Carolina/A02478894/2019,11/18/2019,North_Carolina,2010-human_like
A/swine/North_Carolina/A02478865/2019,11/13/2019,North_Carolina,2010-human_like
A/swine/Illinois/A02478828/2019,10/31/2019,Illinois,2010-human_like
A/swine/Iowa/A02478688/2019,9/18/2019,Iowa,2010-human_like
A/swine/Iowa/A02478683/2019,9/16/2019,Iowa,2010-human_like
A/swine/Iowa/A02478654/2019,9/3/2019,Iowa,2010-human_like
A/swine/Kansas/A02245216/2019,8/16/2019,Kansas,2010-human_like
A/swine/Minnesota/A02245180/2019,6/19/2019,Minnesota,2010-human_like
A/swine/Iowa/19TOSU3065/2019,6/7/2019,Iowa,2010-human_like
A/swine/Illinois/A02478532/2019,5/30/2019,Illinois,2010-human_like
A/swine/Iowa/A01797996/2019,4/17/2019,Iowa,2010-human_like
A/swine/Minnesota/A01785862/2019,1/22/2019,Minnesota,2010-human_like
A/swine/Oklahoma/A01785722/2018,10/25/2018,Oklahoma,2010-human_like
A/swine/Iowa/A02170162/2018,6/13/2018,Iowa,2010-human_like
A/swine/Minnesota/A01785491/2018,3/30/2018,Minnesota,2010-human_like
A/swine/South_Dakota/A01785408/2018,1/8/2018,South_Dakota,2010-human_like
A/swine/Minnesota/A01785333/2017,10/27/2017,Minnesota,2010-human_like
A/swine/Illinois/A01672426/2017,1/20/2017,Illinois,C_IV
A/swine/Iowa/A01668922/2016,11/28/2016,Iowa,2010-human_like
A/swine/Minnesota/A01781222/2016,9/7/2016,Minnesota,2010-human_like
A/swine/Indiana/A01812202/2016,4/24/2016,Indiana,C_IVA
A/swine/Iowa/A01729543/2016,1/12/2016,Iowa,C_IVA
A/swine/Minnesota/A01941131/2015,11/16/2015,Minnesota,C_IVA
A/swine/Iowa/A01944835/2015,10/27/2015,Iowa,C_IVA
A/swine/Minnesota/A01940814/2015,10/19/2015,Minnesota,C_IVA
A/swine/Minnesota/A01940765/2015,10/19/2015,Minnesota,C_IVA
A/swine/Minnesota/A01940427/2015,9/21/2015,Minnesota,C_IVA
A/swine/Minnesota/A01940153/2015,8/17/2015,Minnesota,C_IVA
A/swine/Nebraska/A01566782/2014,11/21/2014,Nebraska,C_IVA
A/swine/Nebraska/A01477775/2014,10/16/2014,Nebraska,C_IVA
A/swine/Pennsylvania/A01477597/2014,9/25/2014,Pennsylvania,C_IVA
A/swine/North_Carolina/A01410732/2014,Apr-14,North_Carolina,C_IVA
A/swine/Iowa/A01290933/2013,Dec-13,Iowa,C_IVB
A/swine/Illinois/A01290614/2013,Oct-13,Illinois,C_IVC
A/swine/Ohio/13TOSU2130/2013,8/1/2013,Ohio,C_IVA
A/swine/Wyoming/A01381213/2013,5/21/2013,Wyoming,C_IVA
A/swine/Iowa/A01432395/2013,Jan-13,Iowa,C_IVA
A/swine/Nebraska/A01327747/2012,4/26/2012,Nebraska,C_IVF
A/swine/Missouri/A01240017/2011,11/15/2011,Missouri,C_IVD
A/swine/Illinois/A01201763/2011,6/23/2011,Illinois,2010-human_like
A/swine/Ohio/13701/2017,Jun-17,Ohio,C_IVA
A/swine/OK/A01377632/2015,11/4/2015,Oklahoma,C_IVA
A/swine/Missouri/A01240016/2011,11/15/2011,Missouri,C_IVD
A/swine/Indiana/79648/2020,10/12/2020,Indiana,2016-human_like
A/swine/Indiana/A02524710/2020,10/7/2020,Indiana,2016-human_like
A/swine/Minnesota/A02245579/2020,4/3/2020,Minnesota,2010-human_like
A/swine/North_Carolina/A02479041/2020,2/6/2020,North_Carolina,2010-human_like
A/swine/Iowa/A02479022/2020,1/22/2020,Iowa,2010-human_like
A/swine/Missouri/A02478935/2019,12/3/2019,Missouri,2010-human_like
A/swine/Nebraska/A02478852/2019,11/6/2019,Nebraska,2010-human_like
A/swine/Kansas/A01378045/2019,10/30/2019,Kansas,2010-human_like
A/swine/Iowa/A02478767/2019,10/16/2019,Iowa,2010-human_like
A/swine/North_Carolina/A02478740/2019,10/11/2019,North_Carolina,2010-human_like
A/swine/South_Dakota/A02478745/2019,10/10/2019,South_Dakota,C_IVA
A/swine/North_Carolina/A02478711/2019,10/2/2019,North_Carolina,2010-human_like
A/swine/Minnesota/A02245255/2019,9/24/2019,Minnesota,C_IVA
A/swine/Iowa/A02478601/2019,7/30/2019,Iowa,2010-human_like
A/swine/Indiana/47676/2019,6/21/2019,Indiana,2016-human_like
A/swine/Iowa/A02478539/2019,6/5/2019,Iowa,2010-human_like
A/swine/Iowa/A02478522/2019,5/28/2019,Iowa,2010-human_like
A/swine/Iowa/A02478483/2019,5/15/2019,Iowa,2010-human_like
A/swine/Iowa/A02478488/2019,5/10/2019,Iowa,2010-human_like
A/swine/Iowa/A02478490/2019,5/9/2019,Iowa,2010-human_like
A/swine/Minnesota/A01785920/2019,1/31/2019,Minnesota,2010-human_like
A/swine/Minnesota/A01785848/2019,1/11/2019,Minnesota,2010-human_like
A/swine/Minnesota/A01785628/2018,9/26/2018,Minnesota,2010-human_like
A/swine/Iowa/A02158151/2018,4/24/2018,Iowa,2010-human_like
A/swine/Illinois/A02140801/2018,1/10/2018,Illinois,2010-human_like
A/swine/Minnesota/A01785345/2017,11/7/2017,Minnesota,2010-human_like
A/swine/Iowa/A02135875/2017,11/6/2017,Iowa,2010-human_like
A/swine/North_Carolina/A01777989/2016,7/27/2016,North_Carolina,C_IVA
A/swine/Michigan/16TOSU3389/2016,6/18/2016,Michigan,C_IVA
A/swine/Michigan/16TOSU3395/2016,6/18/2016,Michigan,C_IVA
A/swine/Iowa/16TOSU2707/2016,6/9/2016,Iowa,C_IVA
A/swine/North_Carolina/A01732322/2016,2/22/2016,North_Carolina,C_IVA
A/swine/Illinois/A01729658/2016,1/14/2016,Illinois,C_IVA
A/swine/North_Carolina/A01729044/2016,1/5/2016,North_Carolina,C_IVA
A/swine/Iowa/A01728956/2016,1/4/2016,Iowa,2010-human_like
A/swine/Iowa/A01728784/2016,1/4/2016,Iowa,C_IVA
A/swine/Minnesota/A01941515/2015,12/15/2015,Minnesota,C_IVA
A/swine/Minnesota/A01941504/2015,12/14/2015,Minnesota,C_IVA
A/swine/Illinois/A01727602/2015,12/11/2015,Illinois,C_IVA
A/swine/Illinois/A01727532/2015,12/10/2015,Illinois,C_IVA
A/swine/OK/A01377622/2015,11/4/2015,Oklahoma,C_IVA
A/swine/Illinois/A01944946/2015,10/29/2015,Illinois,C_IVA
A/swine/North_Carolina/A01945969/2015,10/27/2015,North_Carolina,C_IVA
A/swine/Illinois/A01945691/2015,10/19/2015,Illinois,C_IVA
A/swine/Illinois/A01770678/2015,8/24/2015,Illinois,C_IVA
A/swine/Minnesota/A01822846/2015,6/8/2015,Minnesota,C_IVA
A/swine/Nebraska/A01567868/2015,1/23/2015,Nebraska,C_IVA
A/swine/Illinois/A01478295/2014,11/13/2014,Illinois,C_IVB
A/swine/North_Carolina/A01476722/2014,10/14/2014,North_Carolina,C_IVA
A/swine/Iowa/A01477719/2014,10/9/2014,Iowa,C_IVA
A/swine/Minnesota/A01501738/2014,6/10/2014,Minnesota,C_IVB
A/swine/North_Carolina/A01409423/2013,Dec-13,North_Carolina,C_IVA
A/swine/Nebraska/A01399268/2013,8/9/2013,Nebraska,C_IVF
A/swine/Iowa/A01398028/2013,7/16/2013,Iowa,C_IVB
A/swine/Wyoming/A01380322/2013,4/30/2013,Wyoming,C_IVA
A/swine/Minnesota/A01280592/2013,1/30/2013,Minnesota,C_IVB
A/swine/Nebraska/A01241785/2012,2/20/2012,Nebraska,C_IVF
A/swine/Minnesota/A01785468/2018,3/15/2018,Minnesota,2010-human_like
A/swine/Illinois/02945/2010,1/13/2010,Illinois,C_IV
A/swine/Utah/A02479278/2020,4/21/2020,Utah,2010-human_like
A/swine/Illinois/A02479065/2020,2/12/2020,Illinois,2010-human_like
A/swine/Minnesota/A02245351/2019,12/2/2019,Minnesota,2010-human_like
A/swine/Illinois/A02478883/2019,11/14/2019,Illinois,2010-human_like
A/swine/Iowa/A02478823/2019,10/31/2019,Iowa,2016-human_like
A/swine/Iowa/A02478729/2019,10/8/2019,Iowa,2010-human_like
A/swine/Iowa/A02478662/2019,9/10/2019,Iowa,2010-human_like
A/swine/Utah/A02478641/2019,9/3/2019,Utah,2010-human_like
A/swine/North_Carolina/A02478615/2019,8/13/2019,North_Carolina,2010-human_like
A/swine/Iowa/A02478588/2019,7/9/2019,Iowa,2010-human_like
A/swine/Iowa/A02478575/2019,7/1/2019,Iowa,2010-human_like
A/swine/Iowa/A02478563/2019,6/19/2019,Iowa,2010-human_like
A/swine/Iowa/A02478548/2019,6/11/2019,Iowa,2010-human_like
A/swine/Iowa/A02478519/2019,6/3/2019,Iowa,2010-human_like
A/swine/Iowa/A02478521/2019,5/31/2019,Iowa,2010-human_like
A/swine/Iowa/37636/2019,5/16/2019,Iowa,2016-human_like
A/swine/Iowa/A01797994/2019,4/26/2019,Iowa,2010-human_like
A/swine/Nebraska/A01785951/2019,2/7/2019,Nebraska,C_IVA
A/swine/Virginia/A01785950/2019,2/6/2019,Virginia,C_IVB
A/swine/Missouri/A02428123/2018,12/20/2018,Missouri,2010-human_like
A/swine/Indiana/A02270141/2018,11/21/2018,Indiana,2010-human_like
A/swine/Iowa/A02256932/2018,8/30/2018,Iowa,2010-human_like
A/swine/Minnesota/A01785563/2018,6/5/2018,Minnesota,2010-human_like
A/swine/Iowa/A02158357/2018,4/30/2018,Iowa,2010-human_like
A/swine/Minnesota/A01785416/2018,1/10/2018,Minnesota,2010-human_like
A/swine/Iowa/A01782998/2016,10/28/2016,Iowa,2010-human_like
A/swine/Iowa/16TOSU2673/2016,6/9/2016,Iowa,C_IVA
A/swine/Iowa/16TOSU2677/2016,6/9/2016,Iowa,C_IVA
A/swine/Iowa/16TOSU2822/2016,6/9/2016,Iowa,C_IVA
A/swine/Iowa/16TOSU2424/2016,6/9/2016,Iowa,C_IVA
A/swine/Oregon/A01104094/2016,6/4/2016,Oregon,2010-human_like
A/swine/North_Carolina/A01895763/2016,4/20/2016,North_Carolina,C_IVA
A/swine/Ohio/A01727442/2015,12/9/2015,Ohio,C_IVA
A/swine/Arkansas/A01857979/2015,10/26/2015,Arkansas,C_IVA
A/swine/Illinois/A01945618/2015,10/14/2015,Illinois,C_IVA
A/swine/Ohio/A01944458/2015,10/6/2015,Ohio,C_IVA
A/swine/Kansas/14_032477/2014,12/10/2014,Kansas,C_IVA
A/swine/Illinois/A01520758/2014,10/14/2014,Illinois,C_IVA
A/swine/Indiana/A01260667/2014,9/24/2014,Indiana,C_IVA
A/swine/Indiana/A01410773/2014,May-14,Indiana,C_IVA
A/swine/Nebraska/A01493915/2014,4/9/2014,Nebraska,C_IVA
A/swine/North_Carolina/A01410709/2014,Apr-14,North_Carolina,C_IVA
A/swine/Nebraska/A01493501/2014,3/27/2014,Nebraska,C_IVA
A/swine/Minnesota/A01366004/2013,11/25/2013,Minnesota,C_IVB
A/swine/Indiana/13TOSU5095/2013,8/31/2013,Indiana,C_IVA
A/swine/Minnesota/A01397282/2013,6/24/2013,Minnesota,C_IVB
A/swine/Wyoming/A01379354/2013,3/29/2013,Wyoming,C_IVA
A/swine/Wyoming/A01445305/2013,2/8/2013,Wyoming,C_IVA
A/swine/Wyoming/A01444562/2013,1/13/2013,Wyoming,C_IVA
A/swine/Alabama/D0383/2012,12/11/2012,Alabama,C_IVA
A/swine/South_Dakota/A01279279/2012,11/13/2012,South_Dakota,C_IVB
A/swine/Minnesota/A01301346/2012,8/2/2012,Minnesota,C_IVF
A/swine/Minnesota/2/2012,Jun-12,Minnesota,C_IVE
A/swine/Nebraska/A01241171/2012,1/16/2012,Nebraska,C_IVF
A/swine/Iowa/A02525173/2021,2/10/2021,Iowa,2010-human_like
A/swine/Iowa/A02478910/2019,11/20/2019,Iowa,2010-human_like
A/swine/Minnesota/A02478822/2019,10/30/2019,Minnesota,2010-human_like
A/swine/Utah/A02478810/2019,10/25/2019,Utah,2010-human_like
A/swine/Minnesota/A02245201/2019,7/19/2019,Minnesota,2010-human_like
A/swine/Oklahoma/A01678605/2019,7/12/2019,Oklahoma,2016-human_like
A/swine/Utah/A02478591/2019,7/12/2019,Utah,2010-human_like
A/swine/Iowa/A02478582/2019,7/2/2019,Iowa,2010-human_like
A/swine/Iowa/A02478557/2019,6/18/2019,Iowa,2010-human_like
A/swine/Iowa/38638/2019,5/20/2019,Iowa,2016-human_like
A/swine/Iowa/A02478495/2019,5/16/2019,Iowa,2016-human_like
A/swine/Nebraska/A02245112/2019,4/22/2019,Nebraska,C_IVA
A/swine/Iowa/A02432383/2019,4/16/2019,Iowa,2010-human_like
A/swine/Iowa/A02432324/2019,4/15/2019,Iowa,2010-human_like
A/swine/Iowa/A02432164/2019,4/10/2019,Iowa,2010-human_like
A/swine/Illinois/A02432162/2019,4/10/2019,Illinois,2010-human_like
A/swine/Nebraska/A02432059/2019,4/9/2019,Nebraska,C_IVA
A/swine/Iowa/A02431986/2019,4/4/2019,Iowa,2010-human_like
A/swine/Indiana/A02431993/2019,4/1/2019,Indiana,2010-human_like
A/swine/Nebraska/A02431880/2019,3/26/2019,Nebraska,C_IVA
A/swine/Iowa/A02431885/2019,3/25/2019,Iowa,2010-human_like
A/swine/North_Carolina/A02431888/2019,3/25/2019,North_Carolina,2010-human_like
A/swine/Iowa/A02430691/2019,2/20/2019,Iowa,2010-human_like
A/swine/Iowa/A02268966/2018,11/9/2018,Iowa,2010-human_like
A/swine/Iowa/A02257548/2018,9/25/2018,Iowa,2010-human_like
A/swine/Iowa/A02257394/2018,9/12/2018,Iowa,2010-human_like
A/swine/Iowa/A02255010/2018,8/6/2018,Iowa,2010-human_like
A/swine/Iowa/A02254778/2018,8/3/2018,Iowa,2010-human_like
A/swine/Nebraska/A02254796/2018,7/27/2018,Nebraska,C_IVA
A/swine/Minnesota/A01785463/2018,3/9/2018,Minnesota,2010-human_like
A/swine/Minnesota/A01785461/2018,3/2/2018,Minnesota,2010-human_like
A/swine/Illinois/A02155577/2018,1/9/2018,Illinois,humanVaccine
A/swine/Minnesota/A01678509/2017,10/2/2017,Minnesota,2010-human_like
A/swine/Iowa/A02221513/2017,9/5/2017,Iowa,2010-human_like
A/swine/Iowa/A02219787/2017,8/23/2017,Iowa,2010-human_like
A/swine/Indiana/A02214844/2017,4/3/2017,Indiana,C_IVA
A/swine/Iowa/A01672514/2017,1/10/2017,Iowa,2010-human_like
A/swine/Minnesota/A01785237/2016,10/24/2016,Minnesota,2010-human_like
A/swine/Indiana/A01812159/2016,1/27/2016,Indiana,C_IVB
A/swine/Ohio/A01796509/2015,11/30/2015,Ohio,C_IVA
A/swine/Ohio/A01895033/2015,11/24/2015,Ohio,C_IVA
A/swine/Oklahoma/A01896023/2015,11/16/2015,Oklahoma,C_IVA
A/swine/Ohio/A01941023/2015,11/9/2015,Ohio,C_IVA
A/swine/North_Carolina/A01945973/2015,10/27/2015,North_Carolina,C_IVA
A/swine/Iowa/A01945966/2015,10/26/2015,Iowa,C_IVA
A/swine/Illinois/A02090639/2015,8/26/2015,Illinois,C_IVA
A/swine/North_Carolina/A02025687/2015,8/20/2015,North_Carolina,C_IVA
A/swine/North_Carolina/A01770059/2015,8/3/2015,North_Carolina,C_IVA
A/swine/Iowa/A01472644/2015,7/29/2015,Iowa,C_IVB
A/swine/North_Carolina/A02034953/2015,7/29/2015,North_Carolina,C_IVA
A/swine/North_Carolina/A02034471/2015,7/17/2015,North_Carolina,C_IVA
A/swine/Indiana/A01260918/2015,6/11/2015,Indiana,C_IVA
A/swine/Illinois/A01478890/2015,2/19/2015,Illinois,C_IVA
A/swine/Minnesota/A01483010/2014,9/17/2014,Minnesota,C_IVA
A/swine/North_Carolina/A01410622/2014,Apr-14,North_Carolina,C_IVA
A/swine/Indiana/A01410396/2014,Mar-14,Indiana,C_IVA
A/swine/Nebraska/A01409533/2013,11/20/2013,Nebraska,C_IVA
A/swine/Iowa/A01290742/2013,Nov-13,Iowa,C_IVA
A/swine/North_Carolina/A01409048/2013,Nov-13,North_Carolina,C_IVA
A/swine/Minnesota/A01392515/2013,10/2/2013,Minnesota,C_IVB
A/swine/Iowa/A01290414/2013,Sep-13,Iowa,C_IVB
A/swine/Nebraska/A01397576/2013,7/1/2013,Nebraska,C_IVA
A/swine/Indiana/13TOSU1207/2013,7/1/2013,Indiana,C_IVA
A/swine/Indiana/13TOSU1217/2013,7/1/2013,Indiana,C_IVA
A/swine/Wyoming/A01379346/2013,3/29/2013,Wyoming,C_IVA
A/swine/Wyoming/A01444560/2013,1/13/2013,Wyoming,C_IVA
A/swine/Wyoming/A01444566/2013,1/13/2013,Wyoming,C_IVA
A/swine/Iowa/A01432207/2012,Dec-12,Iowa,C_IV
A/swine/Minnesota/A01301617/2012,9/7/2012,Minnesota,C_IVB
A/swine/Iowa/A01202889/2011,11/18/2011,Iowa,C_IVD
A/swine/Kentucky/14TOSU23911/2014,2014,Kentucky,C_IVB
A/swine/Minnesota/A01785328/2017,10/25/2017,Minnesota,2010-human_like
A/swine/Ohio/16TOSU0255/2016,2/1/2016,Ohio,C_IVA
A/swine/Illinois/A01749812/2016,2/29/2016,Illinois,C_IVA
A/swine/Illinois/A02090984/2015,10/12/2015,Illinois,C_IVA
A/swine/Illinois/A01567037/2014,12/10/2014,Illinois,C_IVB
A/swine/Missouri/A02479196/2020,4/2/2020,Missouri,2010-human_like
A/swine/Minnesota/A02245564/2020,3/24/2020,Minnesota,2010-human_like
A/swine/Iowa/A02479137/2020,3/18/2020,Iowa,2010-human_like
A/swine/South_Dakota/A02245350/2019,12/2/2019,South_Dakota,C_IVA
A/swine/Iowa/A02478747/2019,10/11/2019,Iowa,2010-human_like
A/swine/North_Carolina/A02478707/2019,10/1/2019,North_Carolina,2010-human_like
A/swine/Utah/A02478569/2019,6/25/2019,Utah,2010-human_like
A/swine/Iowa/A02478507/2019,5/24/2019,Iowa,2010-human_like
A/swine/Indiana/A01812292/2019,4/16/2019,Indiana,C_IVA
A/swine/Minnesota/A02432160/2019,4/5/2019,Minnesota,2010-human_like
A/swine/Iowa/A02431454/2019,3/20/2019,Iowa,C_IV
A/swine/Minnesota/A02245014/2019,3/18/2019,Minnesota,C_IVA
A/swine/Illinois/A02431353/2019,3/14/2019,Illinois,2010-human_like
A/swine/Texas/A02245008/2019,3/11/2019,Texas,2010-human_like
A/swine/Illinois/A02430687/2019,2/21/2019,Illinois,2010-human_like
A/swine/Iowa/A01785918/2019,1/31/2019,Iowa,2010-human_like
A/swine/Iowa/A02429949/2019,1/21/2019,Iowa,2010-human_like
A/swine/Indiana/A02427957/2018,12/27/2018,Indiana,2016-human_like
A/swine/Indiana/90660/2018,12/27/2018,Indiana,2016-human_like
A/swine/Texas/A01785793/2018,12/19/2018,Texas,2010-human_like
A/swine/Iowa/A02427667/2018,12/13/2018,Iowa,2010-human_like
A/swine/Texas/A01785780/2018,12/5/2018,Texas,2010-human_like
A/swine/Texas/A01785781/2018,12/5/2018,Texas,2010-human_like
A/swine/Iowa/A02269643/2018,11/12/2018,Iowa,2010-human_like
A/swine/Minnesota/A02266068/2018,10/1/2018,Minnesota,C_IVA
A/swine/Minnesota/A01785621/2018,9/12/2018,Minnesota,2010-human_like
A/swine/Pennsylvania/A02257193/2018,9/6/2018,Pennsylvania,2010-human_like
A/swine/Minnesota/A01785562/2018,6/5/2018,Minnesota,2010-human_like
A/swine/Minnesota/A01785531/2018,5/1/2018,Minnesota,2010-human_like
A/swine/Minnesota/A01785476/2018,3/20/2018,Minnesota,C_IVB
A/swine/Iowa/A02154071/2018,2/21/2018,Iowa,2010-human_like
A/swine/Minnesota/A01785422/2018,1/18/2018,Minnesota,2010-human_like
A/swine/Minnesota/A01785400/2017,12/27/2017,Minnesota,2010-human_like
A/swine/Iowa/A02138970/2017,12/21/2017,Iowa,2010-human_like
A/swine/Minnesota/A01785393/2017,12/20/2017,Minnesota,2010-human_like
A/swine/Minnesota/A01785384/2017,12/18/2017,Minnesota,2010-human_like
A/swine/North_Carolina/A02138712/2017,12/13/2017,North_Carolina,2010-human_like
A/swine/Arkansas/A01671574/2016,12/21/2016,Arkansas,C_IVA
A/swine/Iowa/A01782576/2016,10/19/2016,Iowa,C_IVB
A/swine/Minnesota/A01943867/2016,6/17/2016,Minnesota,2010-human_like
A/swine/North_Carolina/A01895772/2016,4/15/2016,North_Carolina,C_IVA
A/swine/North_Carolina/A01730226/2016,1/25/2016,North_Carolina,C_IVA
A/swine/Iowa/A01729642/2016,1/13/2016,Iowa,C_IV
A/swine/Iowa/A01796466/2015,11/19/2015,Iowa,C_IVA
A/swine/Florida/A01104089/2015,11/17/2015,Florida,C_IVA
A/swine/Iowa/A01795793/2015,11/5/2015,Iowa,C_IVA
A/swine/North_Carolina/A01945753/2015,10/20/2015,North_Carolina,C_IVA
A/swine/Ohio/A01857766/2015,10/14/2015,Ohio,C_IVA
A/swine/Ohio/A01795365/2015,10/8/2015,Ohio,C_IVA
A/swine/Iowa/A02025916/2015,9/8/2015,Iowa,C_IVA
A/swine/North_Carolina/A01857103/2015,8/31/2015,North_Carolina,C_IVA
A/swine/North_Carolina/A01769650/2015,8/13/2015,North_Carolina,C_IVA
A/swine/Ilinois/A02090378/2015,7/28/2015,Unknown,C_IVA
A/swine/Ilinois/A02090306/2015,7/21/2015,Unknown,C_IVA
A/swine/North_Carolina/A02024648/2015,6/3/2015,North_Carolina,C_IVA
A/swine/North_Carolina/A02077505/2015,5/6/2015,North_Carolina,C_IVA
A/swine/Illinois/A01847805/2015,4/24/2015,Illinois,C_IVA
A/swine/Illinois/A01554902/2015,4/24/2015,Illinois,C_IVA
A/swine/Illinois/A01820128/2015,3/20/2015,Illinois,C_IVA
A/swine/Iowa/A01840866/2015,2/25/2015,Iowa,C_IVA
A/swine/North_Carolina/A01840506/2015,1/16/2015,North_Carolina,C_IVA
A/swine/Illinois/A01840336/2015,1/12/2015,Illinois,C_IVA
A/swine/Indiana/A01555087/2014,12/1/2014,Indiana,C_IVA
A/swine/Minnesota/A01567401/2014,7/21/2014,Minnesota,C_IVB
A/swine/Kansas/A01377326/2014,7/1/2014,Kansas,C_IVA
A/swine/Indiana/A01260479/2014,1/28/2014,Indiana,C_IVA
A/swine/Illinois/A01411363/2014,Jan-14,Illinois,C_IVB
A/swine/North_Carolina/A01290797/2013,Nov-13,North_Carolina,C_IVA
A/swine/Iowa/A01432770/2013,Jun-13,Iowa,C_IVB
A/swine/North_Carolina/A01432835/2013,Jun-13,North_Carolina,C_IVA
A/swine/Indiana/A01260285/2013,4/30/2013,Indiana,C_IVC
A/swine/Maryland/A01444460/2013,1/3/2013,Maryland,C_IVA
A/swine/Iowa/A01203503/2012,5/9/2012,Iowa,C_IVA
A/swine/Illinois/02940/2010,1/5/2010,Illinois,C_IVB
A/swine/Illinois/A01749100/2015,10/20/2015,Illinois,C_IVA
A/swine/Iowa/A02479075/2020,2/19/2020,Iowa,C_IVA
A/swine/North_Carolina/A02245413/2020,2/6/2020,North_Carolina,2010-human_like
A/swine/Iowa/93362/2019,12/10/2019,Iowa,2016-human_like
A/swine/Ohio/A02478957/2019,12/5/2019,Ohio,2016-human_like
A/swine/Iowa/A02478878/2019,11/14/2019,Iowa,C_IVA
A/swine/Minnesota/A02245312/2019,10/31/2019,Minnesota,C_IVA
A/swine/North_Carolina/A02478653/2019,9/9/2019,North_Carolina,2010-human_like
A/swine/Iowa/A02478673/2019,9/5/2019,Iowa,2010-human_like
A/swine/Iowa/A02478603/2019,7/29/2019,Iowa,2010-human_like
