Barcode	Date	State	Subtype	Strain	H1	H3	N1	N2	Constellation	WGS
A02429957	2019-01-24	IN	H3N2	A/swine/Indiana/A02429957/2019	NA	2010.1	NA	2002B	NA	FALSE
A02429959	2019-01-24	IN	H1N2	A/swine/Indiana/A02429959/2019	alpha	NA	NA	2002B	NA	FALSE
A01785858	2019-01-21	IA	H1N1	A/swine/Iowa/A01785858/2019	gamma	NA	Classical	NA	NA	FALSE
A01785918	2019-01-31	IA	H3N2	A/swine/Iowa/A01785918/2019	NA	2010.1	NA	2002B	NA	FALSE
A02428055	2018-12-27	IA	H1N1	A/swine/Iowa/A02428055/2018	pandemic	NA	Pandemic	NA	NA	FALSE
A02429254	2019-01-03	IA	H1N2	A/swine/Iowa/A02429254/2019	delta2	NA	NA	1998B	NA	FALSE
A02429288	2019-01-04	IA	H3N2	A/swine/Iowa/A02429288/2019	NA	2010.1	NA	2002B	NA	FALSE
A02429290	2019-01-03	IA	H1N2	A/swine/Iowa/A02429290/2019	delta2	NA	NA	1998B	NA	FALSE
A02429291	2018-12-26	IA	H1N1	A/swine/Iowa/A02429291/2018	gamma	NA	Classical	NA	NA	FALSE
A02429437	2019-01-10	IA	H1N2	A/swine/Iowa/A02429437/2019	delta2	NA	NA	1998B	NA	FALSE
A02429494	2019-01-03	IA	H1N2	A/swine/Iowa/A02429494/2019	delta2	NA	NA	1998B	NA	FALSE
A02429495	2019-01-02	IA	H1N1	A/swine/Iowa/A02429495/2019	gamma	NA	Classical	NA	NA	FALSE
A02429496	2019-01-04	IA	H3N2	A/swine/Iowa/A02429496/2019	NA	2010.2	NA	2016	TTTTPT	TRUE
A02429497	2019-01-07	IA	H1N1	A/swine/Iowa/A02429497/2019	gamma	NA	Classical	NA	NA	FALSE
A02429498	2019-01-04	IA	H3N2	A/swine/Iowa/A02429498/2019	NA	I	NA	TX98	TVVTPT	TRUE
A02429499	2019-01-04	IA	H3N2	A/swine/Iowa/A02429499/2019	NA	2010.1	NA	2002B	NA	FALSE
A02429500	2019-01-07	IA	H1N2	A/swine/Iowa/A02429500/2019	alpha	NA	NA	2002B	NA	FALSE
A02429511	2019-01-14	IA	H1N1	A/swine/Iowa/A02429511/2019	gamma	NA	Classical	NA	NA	FALSE
A02429513	2019-01-14	IA	H1N2	A/swine/Iowa/A02429513/2019	delta2	NA	NA	1998B	NA	FALSE
A02429714	2019-01-18	IA	H1N2	A/swine/Iowa/A02429714/2019	delta2	NA	NA	1998B	NA	FALSE
A02429726	2019-01-22	IA	H1N2	A/swine/Iowa/A02429726/2019	delta2	NA	NA	1998B	NA	FALSE
A02429728	2019-01-21	IA	H1N1	A/swine/Iowa/A02429728/2019	gamma	NA	Classical	NA	NA	FALSE
A02429801	2019-01-14	IA	H1N1	A/swine/Iowa/A02429801/2019	gamma	NA	Classical	NA	NA	FALSE
A02429802	2019-01-14	IA	H1N1	A/swine/Iowa/A02429802/2019	gamma	NA	Classical	NA	NA	FALSE
A02429949	2019-01-21	IA	H3N2	A/swine/Iowa/A02429949/2019	NA	2010.1	NA	2002B	NA	FALSE
A02429950	2019-01-22	IA	H1N1	A/swine/Iowa/A02429950/2019	gamma	NA	Classical	NA	TTPPPT	TRUE
A02429951	2019-01-21	IA	H3N2	A/swine/Iowa/A02429951/2019	NA	2010.1	NA	2002B	NA	FALSE
A02429953	2019-01-22	IA	H3N2	A/swine/Iowa/A02429953/2019	NA	IV-A	NA	2002B	NA	FALSE
A02429955	2019-01-22	IA	H1N1	A/swine/Iowa/A02429955/2019	gamma	NA	Classical	NA	NA	FALSE
A02429807	2019-01-15	KS	H1N2	A/swine/Kansas/A02429807/2019	alpha	NA	NA	2002B	NA	FALSE
A01785794	2018-12-20	MN	H3N2	A/swine/Minnesota/A01785794/2018	NA	2010.1	NA	2002B	TTPTPT	TRUE
A01785818	2019-01-08	MN	H1N1	A/swine/Minnesota/A01785818/2019	gamma	NA	Classical	NA	NA	FALSE
A01785819	2019-01-08	MN	H1N2	A/swine/Minnesota/A01785819/2019	delta2	NA	NA	1998B	NA	FALSE
A01785845	2019-01-09	MN	H3N2	A/swine/Minnesota/A01785845/2019	NA	2010.1	NA	2002B	NA	FALSE
A01785848	2019-01-11	MN	H3N2	A/swine/Minnesota/A01785848/2019	NA	2010.1	NA	2002B	TTPTPT	TRUE
A01785850	2019-01-14	MN	H1N1	A/swine/Minnesota/A01785850/2019	gamma	NA	Classical	NA	NA	FALSE
A01785851	2019-01-14	MN	H1N1	A/swine/Minnesota/A01785851/2019	gamma	NA	Classical	NA	NA	FALSE
A01785853	2019-01-15	MN	H1N1	A/swine/Minnesota/A01785853/2019	gamma	NA	Classical	NA	NA	FALSE
A01785854	2019-01-16	MN	H1N2	A/swine/Minnesota/A01785854/2019	alpha	NA	NA	2002B	TTPPPT	TRUE
A01785855	2019-01-17	MN	H1N2	A/swine/Minnesota/A01785855/2019	delta2	NA	NA	1998B	TTTPPT	TRUE
A01785856	2019-01-18	MN	H3N2	A/swine/Minnesota/A01785856/2019	NA	2010.1	NA	2002B	NA	FALSE
A01785859	2019-01-21	MN	H3N2	A/swine/Minnesota/A01785859/2019	NA	2010.1	NA	2002B	NA	FALSE
A01785860	2019-01-21	MN	H3N2	A/swine/Minnesota/A01785860/2019	NA	IV-I	NA	2002	TTPTPT	TRUE
A01785861	2019-01-21	MN	H1N1	A/swine/Minnesota/A01785861/2019	gamma	NA	Classical	NA	NA	FALSE
A01785862	2019-01-22	MN	H3N2	A/swine/Minnesota/A01785862/2019	NA	2010.1	NA	2002B	NA	FALSE
A01785903	2019-01-22	MN	H1N2	A/swine/Minnesota/A01785903/2019	alpha	NA	NA	2002B	NA	FALSE
A01785907	2019-01-23	MN	H1N2	A/swine/Minnesota/A01785907/2019	delta2	NA	NA	1998B	NA	FALSE
A01785908	2019-01-24	MN	H1N2	A/swine/Minnesota/A01785908/2019	delta1a	NA	NA	2002B	NA	FALSE
A01785909	2019-01-24	MN	H3N2	A/swine/Minnesota/A01785909/2019	NA	2010.1	NA	2002B	NA	FALSE
A01785920	2019-01-31	MN	H3N2	A/swine/Minnesota/A01785920/2019	NA	2010.1	NA	2002B	NA	FALSE
A02429503	2019-01-08	MN	H1N1	A/swine/Minnesota/A02429503/2019	gamma	NA	Classical	NA	NA	FALSE
A02429675	2019-01-21	MN	H1N2	A/swine/Minnesota/A02429675/2019	alpha	NA	NA	2002B	NA	FALSE
A02429289	2019-01-02	MO	H1N1	A/swine/Missouri/A02429289/2019	pandemic	NA	Pandemic	NA	PPPVPP	TRUE
A02429504	2019-01-10	MO	H1N1	A/swine/Missouri/A02429504/2019	pandemic	NA	Pandemic	NA	NA	FALSE
A01785847	2019-01-10	NE	H1N1	A/swine/Nebraska/A01785847/2019	gamma2-beta-like	NA	MN99	NA	NA	FALSE
A02271041	2018-11-26	NE	H1N2	A/swine/Nebraska/A02271041/2018	delta1a	NA	NA	2002B	NA	FALSE
A02429501	2019-01-08	NE	H1N1	A/swine/Nebraska/A02429501/2019	gamma	NA	Classical	NA	TTTPPT	TRUE
A01785846	2019-01-10	NC	H3N2	A/swine/North_Carolina/A01785846/2019	NA	2010.1	NA	2002B	NA	FALSE
A01785849	2019-01-11	NC	H3N2	A/swine/North_Carolina/A01785849/2019	NA	2010.1	NA	2002B	NA	FALSE
A01785857	2019-01-18	NC	H3N2	A/swine/North_Carolina/A01785857/2019	NA	2010.1	NA	2002B	TTTTPT	TRUE
A01785912	2019-01-28	NC	H1N2	A/swine/North_Carolina/A01785912/2019	alpha	NA	NA	2002B	NA	FALSE
A01785915	2019-01-28	NC	H1N2	A/swine/North_Carolina/A01785915/2019	delta2	NA	NA	1998B	NA	FALSE
A02428124	2018-12-26	NC	H1N2	A/swine/North_Carolina/A02428124/2018	delta2	NA	NA	1998B	NA	FALSE
A02429580	2019-01-16	NC	H1N1	A/swine/North_Carolina/A02429580/2019	gamma	NA	Classical	NA	NA	FALSE
A02429582	2019-01-16	NC	H1N1	A/swine/North_Carolina/A02429582/2019	gamma	NA	Classical	NA	NA	FALSE
A02429717	2019-01-18	NC	H3N2	A/swine/North_Carolina/A02429717/2019	NA	2010.1	NA	2002B	NA	FALSE
A02429804	2019-01-15	NC	H3N2	A/swine/North_Carolina/A02429804/2019	NA	2010.1	NA	2002B	NA	FALSE
A02429827	2019-01-23	NC	H1N2	A/swine/North_Carolina/A02429827/2019	alpha	NA	NA	2002B	NA	FALSE
A01785904	2019-01-23	OH	H3N2	A/swine/Ohio/A01785904/2019	NA	2010.1	NA	2002B	TTTTPT	TRUE
A01785905	2019-01-23	OH	H3N2	A/swine/Ohio/A01785905/2019	NA	2010.1	NA	2002B	NA	FALSE
A02429502	2019-01-08	OH	H1N1	A/swine/Ohio/A02429502/2019	gamma	NA	Classical	NA	NA	FALSE
A02429803	2019-01-14	OH	H1N1	A/swine/Ohio/A02429803/2019	gamma	NA	Classical	NA	TTTTPT	TRUE
A02429952	2019-01-21	OH	H1N1	A/swine/Ohio/A02429952/2019	gamma2-beta-like	NA	MN99	NA	NA	FALSE
A01785816	2019-01-06	OK	H1N1	A/swine/Oklahoma/A01785816/2019	pandemic	NA	Pandemic	NA	NA	FALSE
A01785817	2019-01-07	OK	H1N1	A/swine/Oklahoma/A01785817/2019	beta	NA	Classical	NA	TTTTPT	TRUE
A01785910	2019-01-16	SD	H1N1	A/swine/South_Dakota/A01785910/2019	gamma	NA	Classical	NA	TTTPPT	TRUE
A02429808	2019-01-16	SD	H1N1	A/swine/South_Dakota/A02429808/2019	gamma	NA	Classical	NA	NA	FALSE
A01785911	2019-01-24	TN	H1N1	A/swine/Tennessee/A01785911/2019	gamma	NA	Classical	NA	TTPPPT	TRUE
A01785906	2019-01-23	TX	H1N1	A/swine/Texas/A01785906/2019	gamma2-beta-like	NA	MN99	NA	VVVVPP	TRUE
A02429224	2019-01-04	UT	H1N2	A/swine/Utah/A02429224/2019	alpha	NA	NA	2002B	NA	FALSE
A01785949	2019-02-05	VA	H1N1	A/swine/Virginia/A01785949/2019	gamma	NA	Classical	NA	NA	FALSE
A02430271	2019-02-07	IL	H1N2	A/swine/Illinois/A02430271/2019	delta2	NA	NA	1998B	NA	FALSE
A02430474	2019-02-01	IL	H1N2	A/swine/Illinois/A02430474/2019	alpha	NA	NA	2002B	NA	FALSE
A02430475	2019-02-04	IL	H1N1	A/swine/Illinois/A02430475/2019	pandemic	NA	Pandemic	NA	NA	FALSE
A02430476	2019-02-04	IL	H3N2	A/swine/Illinois/A02430476/2019	NA	I	NA	TX98	NA	FALSE
A02430480	2019-02-12	IL	H1N2	A/swine/Illinois/A02430480/2019	delta1a	NA	NA	2002B	NA	FALSE
A02430687	2019-02-21	IL	H3N2	A/swine/Illinois/A02430687/2019	NA	2010.1	NA	2002B	NA	FALSE
A02430693	2019-02-20	IL	H1N1	A/swine/Illinois/A02430693/2019	gamma	NA	Classical	NA	TTPPPT	TRUE
A02430694	2019-02-19	IL	H3N2	A/swine/Illinois/A02430694/2019	NA	2010.2	NA	2016	NA	FALSE
A02430809	2019-02-27	IL	H1N2	A/swine/Illinois/A02430809/2019	delta1a	NA	NA	2002B	NA	FALSE
A01812286	2018-12-27	IN	H1N1	A/swine/Indiana/A01812286/2018	gamma	NA	Classical	NA	NA	FALSE
A01812287	2019-01-04	IN	H1N2	A/swine/Indiana/A01812287/2019	delta1a	NA	NA	2002B	TTTTPT	TRUE
A02429954	2019-01-22	IN	H1N2	A/swine/Indiana/A02429954/2019	delta2	NA	NA	1998B	NA	FALSE
A02430541	2019-02-19	IN	H3N2	A/swine/Indiana/A02430541/2019	NA	2010.2	NA	2016	NA	FALSE
A02430689	2019-02-21	IN	H1N1	A/swine/Indiana/A02430689/2019	gamma	NA	Classical	NA	TTPTPT	TRUE
A02430690	2019-02-21	IN	H1N1	A/swine/Indiana/A02430690/2019	gamma	NA	Classical	NA	NA	FALSE
A02430704	2019-02-21	IN	H1N2	A/swine/Indiana/A02430704/2019	delta2	NA	NA	1998B	NA	FALSE
A02430909	2019-02-21	IN	H1N2	A/swine/Indiana/A02430909/2019	delta2	NA	NA	1998B	NA	FALSE
A01785917	2019-01-30	IA	H1N1	A/swine/Iowa/A01785917/2019	gamma	NA	Classical	NA	NA	FALSE
A02429948	2019-01-18	IA	H1N2	A/swine/Iowa/A02429948/2019	delta2	NA	NA	1998B	NA	FALSE
A02429958	2019-01-24	IA	H1N1	A/swine/Iowa/A02429958/2019	gamma	NA	Classical	NA	NA	FALSE
A02430043	2019-01-31	IA	H1N1	A/swine/Iowa/A02430043/2019	gamma	NA	Classical	NA	NA	FALSE
A02430051	2019-01-31	IA	H3N2	A/swine/Iowa/A02430051/2019	NA	I	NA	TX98	NA	FALSE
A02430101	2019-01-29	IA	H1N1	A/swine/Iowa/A02430101/2019	gamma	NA	Classical	NA	NA	FALSE
A02430102	2019-01-25	IA	H3N2	A/swine/Iowa/A02430102/2019	NA	2010.2	NA	2016	TTTTPT	TRUE
A02430103	2019-01-31	IA	H1N1	A/swine/Iowa/A02430103/2019	gamma	NA	Classical	NA	NA	FALSE
A02430152	2019-02-07	IA	H1N2	A/swine/Iowa/A02430152/2019	delta2	NA	NA	1998B	NA	FALSE
A02430269	2019-02-06	IA	H1N1	A/swine/Iowa/A02430269/2019	gamma	NA	Classical	NA	NA	FALSE
A02430278	2019-02-08	IA	H3N2	A/swine/Iowa/A02430278/2019	NA	IV-A	NA	2002B	NA	FALSE
A02430473	2019-02-01	IA	H1N1	A/swine/Iowa/A02430473/2019	gamma	NA	Classical	NA	TTPPPT	TRUE
A02430477	2019-02-12	IA	H1N1	A/swine/Iowa/A02430477/2019	gamma	NA	Classical	NA	NA	FALSE
A02430478	2019-02-11	IA	H3N2	A/swine/Iowa/A02430478/2019	NA	2010.1	NA	2002B	NA	FALSE
A02430479	2019-02-12	IA	H1N1	A/swine/Iowa/A02430479/2019	gamma	NA	Classical	NA	NA	FALSE
A02430481	2019-02-12	IA	H1N2	A/swine/Iowa/A02430481/2019	delta1a	NA	NA	2002B	NA	FALSE
A02430688	2019-02-21	IA	H1N1	A/swine/Iowa/A02430688/2019	gamma	NA	Classical	NA	NA	FALSE
A02430691	2019-02-20	IA	H3N2	A/swine/Iowa/A02430691/2019	NA	2010.1	NA	2002A	NA	FALSE
A02430902	2019-02-11	IA	H1N1	A/swine/Iowa/A02430902/2019	pandemic	NA	Pandemic	NA	NA	FALSE
A02430906	2019-02-23	IA	H1N1	A/swine/Iowa/A02430906/2019	gamma	NA	Classical	NA	NA	FALSE
A02430907	2019-02-22	IA	H3N2	A/swine/Iowa/A02430907/2019	NA	2010.1	NA	2002B	NA	FALSE
A02430910	2019-02-25	IA	H1N2	A/swine/Iowa/A02430910/2019	delta2	NA	NA	1998B	NA	FALSE
A02430911	2019-02-25	IA	H1N1	A/swine/Iowa/A02430911/2019	gamma	NA	Classical	NA	NA	FALSE
A02430912	2019-02-26	IA	H1N2	A/swine/Iowa/A02430912/2019	delta2	NA	NA	1998B	TTTPPT	TRUE
A01378042	2019-02-08	KS	H3N2	A/swine/Kansas/A01378042/2019	NA	IV-A	NA	2002A	TTTTPT	TRUE
A02430272	2019-02-07	KS	H3N2	A/swine/Kansas/A02430272/2019	NA	IV-A	NA	2002A	NA	FALSE
A01785913	2019-01-28	MN	H1N1	A/swine/Minnesota/A01785913/2019	pandemic	NA	Pandemic	NA	NA	FALSE
A01785916	2019-01-30	MN	H1N1	A/swine/Minnesota/A01785916/2019	pandemic	NA	Pandemic	NA	NA	FALSE
A01785953	2019-02-13	MN	H3N2	A/swine/Minnesota/A01785953/2019	NA	IV-A	NA	2002A	NA	FALSE
A01785957	2019-02-14	MN	H1N2	A/swine/Minnesota/A01785957/2019	delta2	NA	NA	1998B	NA	FALSE
A01785961	2019-02-19	MN	H1N2	A/swine/Minnesota/A01785961/2019	delta2	NA	NA	1998B	TTTPPT	TRUE
A01785993	2019-02-25	MN	H1N2	A/swine/Minnesota/A01785993/2019	delta1a	NA	NA	2002A	NA	FALSE
A01785995	2019-02-27	MN	H1N2	A/swine/Minnesota/A01785995/2019	delta2	NA	NA	1998B	NA	FALSE
A01785997	2019-02-28	MN	H1N2	A/swine/Minnesota/A01785997/2019	delta2	NA	NA	1998B	NA	FALSE
A02430913	2019-02-28	MN	H1N1	A/swine/Minnesota/A02430913/2019	pandemic	NA	Pandemic	NA	NA	FALSE
A02430111	2019-02-01	MO	H1N1	A/swine/Missouri/A02430111/2019	gamma	NA	Classical	NA	NA	FALSE
A02430214	2019-02-06	MO	H1N2	A/swine/Missouri/A02430214/2019	delta1b	NA	NA	2002A	TTTTPT	TRUE
A02430273	2019-02-07	MO	H1N1	A/swine/Missouri/A02430273/2019	pandemic	NA	Pandemic	NA	PPPPPP	TRUE
A02430482	2019-02-14	MO	H1N2	A/swine/Missouri/A02430482/2019	delta2	NA	NA	1998B	TTTPPT	TRUE
A01785951	2019-02-07	NE	H3N2	A/swine/Nebraska/A01785951/2019	NA	IV-A	NA	2002A	TTTTPT	TRUE
A02430270	2019-02-06	NE	H3N2	A/swine/Nebraska/A02430270/2019	NA	2010.1	NA	2002B	NA	FALSE
A02430692	2019-02-19	NE	H3N2	A/swine/Nebraska/A02430692/2019	NA	IV-A	NA	2002B	NA	FALSE
A02430817	2019-02-27	NE	H1N2	A/swine/Nebraska/A02430817/2019	delta1a	NA	NA	2002B	NA	FALSE
A01785921	2019-02-04	NC	H1N2	A/swine/North_Carolina/A01785921/2019	alpha	NA	NA	1998B	NA	FALSE
A01785952	2019-02-07	NC	H1N2	A/swine/North_Carolina/A01785952/2019	alpha	NA	NA	2002B	NA	FALSE
A01785959	2019-02-18	NC	H1N2	A/swine/North_Carolina/A01785959/2019	alpha	NA	NA	1998B	NA	FALSE
A01785960	2019-02-12	NC	H1N2	A/swine/North_Carolina/A01785960/2019	alpha	NA	NA	1998B	NA	FALSE
A01785986	2019-02-24	NC	H1N1	A/swine/North_Carolina/A01785986/2019	pandemic	NA	Pandemic	NA	NA	FALSE
A01785990	2019-02-25	NC	H1N2	A/swine/North_Carolina/A01785990/2019	alpha	NA	NA	1998B	NA	FALSE
A01785991	2019-02-25	NC	H1N2	A/swine/North_Carolina/A01785991/2019	alpha	NA	NA	1998B	NA	FALSE
A01785994	2019-02-26	NC	H1N2	A/swine/North_Carolina/A01785994/2019	alpha	NA	NA	1998B	NA	FALSE
A01785996	2019-02-28	NC	H1N2	A/swine/North_Carolina/A01785996/2019	alpha	NA	NA	1998B	TTTPPT	TRUE
A02429854	2019-01-24	NC	H1N1	A/swine/North_Carolina/A02429854/2019	gamma	NA	Classical	NA	NA	FALSE
A02430186	2019-02-05	NC	H1N1	A/swine/North_Carolina/A02430186/2019	gamma	NA	Classical	NA	NA	FALSE
A02430310	2019-02-12	NC	H1N1	A/swine/North_Carolina/A02430310/2019	gamma	NA	Classical	NA	TTTPPT	TRUE
A02430551	2019-02-18	NC	H1N2	A/swine/North_Carolina/A02430551/2019	alpha	NA	NA	2002B	NA	FALSE
A02430885	2019-03-01	NC	H1N1	A/swine/North_Carolina/A02430885/2019	gamma	NA	Classical	NA	NA	FALSE
A02430905	2019-02-21	OH	H3N2	A/swine/Ohio/A02430905/2019	NA	2010.1	NA	2002B	TTTTPT	TRUE
A01785954	2019-02-12	OK	H1N2	A/swine/Oklahoma/A01785954/2019	alpha	NA	NA	2002B	NA	FALSE
A01785956	2019-02-14	OK	H1N2	A/swine/Oklahoma/A01785956/2019	delta1a	NA	NA	2002B	TTPPPT	TRUE
A01785985	2019-02-21	OK	H1N2	A/swine/Oklahoma/A01785985/2019	alpha	NA	NA	2002B	TTPTPT	TRUE
A01785992	2019-02-27	OK	H3N2	A/swine/Oklahoma/A01785992/2019	NA	IV-A	NA	2002B	TTTPPT	TRUE
A02429857	2019-01-24	PA	H1N2	A/swine/Pennsylvania/A02429857/2019	delta2	NA	NA	1998B	TTTTPT	TRUE
A02430054	2019-01-30	PA	H1N2	A/swine/Pennsylvania/A02430054/2019	delta2	NA	NA	1998B	NA	FALSE
A01785987	2019-02-21	SD	H3N2	A/swine/South_Dakota/A01785987/2019	NA	IV-A	NA	2002B	NA	FALSE
A01785988	2019-02-21	SD	H3N2	A/swine/South_Dakota/A01785988/2019	NA	IV-A	NA	2002B	NA	FALSE
A02430908	2019-02-26	SD	H3N2	A/swine/South_Dakota/A02430908/2019	NA	I	NA	TX98	VVVVVV	TRUE
A01785919	2019-01-31	TX	H1N1	A/swine/Texas/A01785919/2019	gamma	NA	Classical	NA	NA	FALSE
A01785955	2019-02-12	TX	H1N2	A/swine/Texas/A01785955/2019	alpha	NA	NA	2002B	TTPTPT	TRUE
A01785950	2019-02-06	VA	H3N2	A/swine/Virginia/A01785950/2019	NA	IV-B	NA	2002B	TTTTPT	TRUE
A02431597	2019-03-22	AR	H1N1	A/swine/Arkansas/A02431597/2019	pandemic	NA	Pandemic	NA	PPPPPP	TRUE
A02431144	2019-02-22	IL	H1N1	A/swine/Illinois/A02431144/2019	gamma2-beta-like	NA	MN99	NA	TVVTPT	TRUE
A02431351	2019-03-14	IL	H1N2	A/swine/Illinois/A02431351/2019	delta1a	NA	NA	2002B	NA	FALSE
A02431353	2019-03-14	IL	H3N2	A/swine/Illinois/A02431353/2019	NA	2010.1	NA	2002B	TTTPPT	TRUE
A02431881	2019-03-27	IL	H1N2	A/swine/Illinois/A02431881/2019	delta1a	NA	NA	2002B	TTTTPT	TRUE
A02431882	2019-03-26	IL	H1N2	A/swine/Illinois/A02431882/2019	delta1a	NA	NA	2002B	NA	FALSE
A01812289	2019-03-22	IN	H1N2	A/swine/Indiana/A01812289/2019	delta2	NA	NA	1998B	NA	FALSE
A02431147	2019-03-05	IN	H1N1	A/swine/Indiana/A02431147/2019	gamma	NA	Classical	NA	NA	FALSE
A02431275	2019-03-15	IN	H1N1	A/swine/Indiana/A02431275/2019	gamma2-beta-like	NA	MN99	NA	NA	FALSE
A02431350	2019-03-14	IN	H1N1	A/swine/Indiana/A02431350/2019	pandemic	NA	Pandemic	NA	NA	FALSE
A02245015	2019-03-19	IA	H1N1	A/swine/Iowa/A02245015/2019	gamma	NA	Classical	NA	NA	FALSE
A02431133	2019-03-11	IA	H3N2	A/swine/Iowa/A02431133/2019	NA	2010.1	NA	2002B	NA	FALSE
A02431148	2019-03-07	IA	H3N2	A/swine/Iowa/A02431148/2019	NA	2010.1	NA	2002B	NA	FALSE
A02431348	2019-03-08	IA	H1N2	A/swine/Iowa/A02431348/2019	delta2	NA	NA	1998B	NA	FALSE
A02431349	2019-03-11	IA	H1N2	A/swine/Iowa/A02431349/2019	delta2	NA	NA	1998B	NA	FALSE
A02431352	2019-03-14	IA	H3N2	A/swine/Iowa/A02431352/2019	NA	2010.1	NA	2002A	NA	FALSE
A02431454	2019-03-20	IA	H3N2	A/swine/Iowa/A02431454/2019	NA	IV-I	NA	2002	TTPTPT	TRUE
A02431572	2019-03-21	IA	H1N2	A/swine/Iowa/A02431572/2019	delta2	NA	NA	1998B	NA	FALSE
A02431613	2019-03-21	IA	H3N2	A/swine/Iowa/A02431613/2019	NA	IV-A	NA	2002B	NA	FALSE
A02431614	2019-03-21	IA	H1N1	A/swine/Iowa/A02431614/2019	gamma	NA	Classical	NA	NA	FALSE
A02431615	2019-03-21	IA	H1N1	A/swine/Iowa/A02431615/2019	gamma	NA	Classical	NA	NA	FALSE
A02431616	2019-03-20	IA	H1N2	A/swine/Iowa/A02431616/2019	delta2	NA	NA	1998B	T-TPPT	FALSE
A02431617	2019-03-18	IA	H1N1	A/swine/Iowa/A02431617/2019	delta1a	NA	Classical	NA	TTTPPT	TRUE
A02431883	2019-03-26	IA	H1N1	A/swine/Iowa/A02431883/2019	gamma	NA	Classical	NA	NA	FALSE
A01378043	2019-02-21	KS	H3N2	A/swine/Kansas/A01378043/2019	NA	2010.1	NA	2002A	TTTTPT	TRUE
A02245011	2019-03-18	KS	H3N2	A/swine/Kansas/A02245011/2019	NA	IV-A	NA	2002B	NA	FALSE
A02245091	2019-03-26	KS	H1N1	A/swine/Kansas/A02245091/2019	pandemic	NA	Pandemic	NA	PPPPPP	TRUE
A01785989	2019-02-22	MN	H3N2	A/swine/Minnesota/A01785989/2019	NA	2010.1	NA	1998B	TTTPPT	TRUE
A01785998	2019-03-04	MN	H1N1	A/swine/Minnesota/A01785998/2019	pandemic	NA	Pandemic	NA	NA	FALSE
A01785999	2019-03-01	MN	H1N1	A/swine/Minnesota/A01785999/2019	pandemic	NA	Pandemic	NA	NA	FALSE
A02245001	2019-03-05	MN	H1N1	A/swine/Minnesota/A02245001/2019	gamma	NA	Classical	NA	NA	FALSE
A02245002	2019-03-06	MN	H1N1	A/swine/Minnesota/A02245002/2019	pandemic	NA	Pandemic	NA	PPPPPP	TRUE
A02245009	2019-03-17	MN	H1N1	A/swine/Minnesota/A02245009/2019	gamma	NA	Classical	NA	TTTPPT	TRUE
A02245010	2019-03-18	MN	H1N1	A/swine/Minnesota/A02245010/2019	gamma	NA	Classical	NA	NA	FALSE
A02245013	2019-03-18	MN	H1N1	A/swine/Minnesota/A02245013/2019	gamma	NA	Classical	NA	NA	FALSE
A02245014	2019-03-18	MN	H3N2	A/swine/Minnesota/A02245014/2019	NA	IV-A	NA	2002A	NA	FALSE
A02245095	2019-03-28	MN	H1N1	A/swine/Minnesota/A02245095/2019	gamma	NA	Classical	NA	NA	FALSE
A02245096	2019-03-28	MN	H3N2	A/swine/Minnesota/A02245096/2019	NA	IV-A	NA	2002B	NA	FALSE
A02431612	2019-03-22	NE	H1N2	A/swine/Nebraska/A02431612/2019	alpha	NA	NA	2002B	NA	FALSE
A02431879	2019-03-25	NE	H1N2	A/swine/Nebraska/A02431879/2019	alpha	NA	NA	2002B	NA	FALSE
A02245000	2019-02-28	NC	H1N2	A/swine/North_Carolina/A02245000/2019	delta2	NA	NA	1998B	NA	FALSE
A02245004	2019-03-07	NC	H1N2	A/swine/North_Carolina/A02245004/2019	alpha	NA	NA	1998B	TTTPPT	TRUE
A02245005	2019-03-07	NC	H1N2	A/swine/North_Carolina/A02245005/2019	alpha	NA	NA	1998B	NA	FALSE
A02430860	2019-02-28	NC	H1N2	A/swine/North_Carolina/A02430860/2019	delta2	NA	NA	1998B	NA	FALSE
A02431241	2019-03-13	NC	H1N2	A/swine/North_Carolina/A02431241/2019	alpha	NA	NA	2002B	NA	FALSE
A02431266	2019-03-14	NC	H1N2	A/swine/North_Carolina/A02431266/2019	delta2	NA	NA	1998B	NA	FALSE
A02431520	2019-03-19	NC	H1N2	A/swine/North_Carolina/A02431520/2019	delta2	NA	NA	1998B	NA	FALSE
A02431611	2019-03-20	NC	H1N1	A/swine/North_Carolina/A02431611/2019	pandemic	NA	Pandemic	NA	NA	FALSE
A02431653	2019-03-25	NC	H1N1	A/swine/North_Carolina/A02431653/2019	pandemic	NA	Pandemic	NA	NA	FALSE
A02431888	2019-03-25	NC	H3N2	A/swine/North_Carolina/A02431888/2019	NA	2010.1	NA	2002B	NA	FALSE
A02431145	2019-03-05	OH	H1N2	A/swine/Ohio/A02431145/2019	alpha	NA	NA	2002B	TTPPPT	TRUE
A02245006	2019-03-07	OK	H1N2	A/swine/Oklahoma/A02245006/2019	gamma2-beta-like	NA	NA	TX98	TTTPPT	TRUE
A02245007	2019-03-07	OK	H1N2	A/swine/Oklahoma/A02245007/2019	delta1a	NA	NA	2002A	NA	FALSE
A02245012	2019-03-18	OK	H1N2	A/swine/Oklahoma/A02245012/2019	alpha	NA	NA	2002B	NA	FALSE
A02431544	2019-03-19	PA	H1N1	A/swine/Pennsylvania/A02431544/2019	pandemic	NA	Pandemic	NA	NA	FALSE
